{'Number': 10, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 11, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 12, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 13, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 14, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 15, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 16, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 17, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 18, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 19, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 20, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 21, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 22, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 23, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 24, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 25, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 26, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 27, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 28, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 29, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 30, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 31, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 32, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 33, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 34, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 35, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 36, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 37, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 38, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 39, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 40, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 41, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 42, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 43, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 44, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 45, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 46, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 47, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 48, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 49, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 50, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 51, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 52, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 53, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 54, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 55, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 56, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 57, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 58, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 59, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 60, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 61, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 62, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 63, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 64, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 65, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 66, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 67, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 68, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 69, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 70, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 71, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 72, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 73, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 74, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 75, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 76, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 77, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 78, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 79, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 80, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 81, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 82, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 83, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 84, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 85, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 86, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 87, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 88, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 90, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 91, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 92, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 93, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 94, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 95, 'Palindrone': 'Yes', 'Number of processes': 3}
{'Number': 96, 'Palindrone': 'Yes', 'Number of processes': 4}
{'Number': 97, 'Palindrone': 'Yes', 'Number of processes': 6}
{'Number': 99, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 100, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 101, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 102, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 103, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 104, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 105, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 106, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 107, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 108, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 109, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 110, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 111, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 112, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 113, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 114, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 115, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 116, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 117, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 118, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 119, 'Palindrone': 'Yes', 'Number of processes': 2}
{'Number': 120, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 121, 'Palindrone': 'Yes', 'Number of processes': 0}
{'Number': 122, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 123, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 124, 'Palindrone': 'Yes', 'Number of processes': 1}
{'Number': 125, 'Palindrone': 'Yes', 'Number of processes': 1}
